,O=C(N1CCNCC1)c2ccc(C=Cc3[nH]nc4ccccc34)cc2,O=C(Nc1c[nH]c2ncc(cc12)c3ccc(cc3)C#N)c4cccnc4
GSG2,1.60778119916e-06,7.68972271624e-07
GSK3A,0.000553221673744,0.0039836335966
GSK3B,0.000455307749145,0.00252755900509
HCK,4.29423981217e-06,5.00403159298e-05
HIPK1,0.4553708294,1.5925165528e-06
HIPK2,0.0158608853548,0.000539114667154
HIPK3,0.54977975431,4.77947424043e-06
HIPK4,0.0125106422803,0.000130850028829
ICK,2.40319474438e-05,1.31528395161e-06
IGF1R,0.000957872162806,0.00673158325706
IKBKB,0.11767597752,0.00165934599741
IKBKE,0.0819652107272,0.000625676997948
ILK,8.32359977664e-06,3.25598403378e-07
INSR,0.00980800302677,0.000601620099222
INSRR,0.58445856455,9.86995390981e-07
IRAK1,0.00933717584566,0.000785307438533
IRAK3,0.489542212119,4.83774027357e-07
IRAK4,0.00141945095101,0.0055134644053
ITK,0.00744615391099,0.0120980847982
JAK1,0.00686501931968,1.42238672595e-06
JAK2,0.00162250869893,1.80570278437e-05
JAK3,0.000480424242039,0.0031690428241
KDR,0.00602740160703,0.00102236572179
KHK,0.000270245056205,1.48272273966e-06
KIT,0.0023569031212,0.0920617019957
LATS2,7.10161730218e-06,3.61496487759e-07
LCK,0.000146744209923,5.64541672179e-05
LIMK1,0.000102395031299,0.00127904261521
LIMK2,6.7512483383e-07,6.45262097158e-06
LRRK2,0.0326981739398,0.00132028866731
LTK,0.025963342875,0.000180486784965
LYN,0.000227032141291,0.000503292844564
MAP2K1,0.00491219519399,6.31961957387e-05
MAP2K2,0.0695083516812,8.5075664232e-05
MAP2K3,0.574802392525,2.10516465276e-05
MAP2K4,0.539426203076,1.57011758236e-06
MAP2K5,0.221738108861,9.11006330385e-05
MAP2K6,0.56429413384,3.29962521933e-06
MAP3K1,2.2800938628e-06,2.2762781243e-06
MAP3K10,3.13188788813e-06,8.86407186284e-05
MAP3K11,0.228781595064,0.00188625393339
MAP3K12,0.3793767088,9.91652347532e-06
MAP3K13,0.394574415306,1.56791711406e-06
MAP3K14,1.67547518387e-07,3.69457762431e-06
MAP3K19,0.188599334834,3.84318173452e-05
MAP3K2,0.319510443459,0.000231976018054
MAP3K3,0.484278770747,2.00639813742e-05
MAP3K5,1.50138246815e-05,0.000596479752085
MAP3K7,0.172835808815,0.000596363743562
MAP3K8,2.91103009777e-06,0.000269861835189
MAP3K9,0.163394483934,7.64539824774e-05
MAP4K1,0.361578485557,1.95807647871e-05
MAP4K2,0.0397189725634,0.000821618297524
MAP4K3,0.319572367899,1.73432621515e-06
MAP4K4,0.0078260412278,0.000468099023598
MAP4K5,0.01352795102,0.000552171690131
MAPK1,0.00506448996146,0.000836263600129
MAPK10,0.000114369953943,0.0010900532124
MAPK11,6.2421524911e-06,7.20260663642e-05
MAPK12,2.19606945831e-06,3.00842301557e-05
MAPK13,5.54071685588e-07,2.10111722225e-05
MAPK14,0.000237041426745,0.000469329238123
MAPK15,2.3640810137e-05,1.86383220086e-05
MAPK3,2.39693206254e-07,1.96920409643e-05
MAPK7,1.01234259822e-05,1.28362137391e-06
MAPK8,6.19296314575e-05,0.013893983619
MAPK9,0.0436218805693,0.00518258480154
MAPKAPK2,0.0120403767912,0.00752586235104
MAPKAPK3,2.49705396835e-05,3.51330898515e-05
MAPKAPK5,0.000109580147715,5.19237370339e-05
MARK1,0.408072372151,5.02591455691e-06
MARK2,0.0815394562214,0.000114294593391
MARK3,0.00011047234485,0.00203053585106
MARK4,0.312844005678,4.43117531041e-06
MATK,2.89143340505e-07,2.90855317876e-07
MELK,0.019661211461,0.000279523782184
MERTK,0.114935062224,1.10985519137e-05
MET,5.65513464446e-05,0.00617252056597
MINK1,0.0179695587641,0.000749185955561
MKNK1,0.000222558041106,1.45277744351e-06
MKNK2,0.000832021532986,0.000196545510666
MST1R,0.144567366997,8.53319460903e-05
MST4,4.85849911375e-06,7.07286499672e-06
MTOR,2.53715820287e-05,0.0021695070744
MUSK,0.306732857814,5.17971870302e-07
MYLK,0.374602596703,5.82701626152e-06
MYLK2,0.373496957044,8.0426790751e-07
MYLK3,0.425189144058,1.05523034759e-05
MYLK4,0.312440086426,8.82144726735e-07
NEK2,3.67245455024e-06,0.252116744352
NEK4,1.70272096363e-05,0.00187110240494
NLK,5.61540305471e-07,6.31451850776e-07
NPR1,1.67082689957e-05,2.91196559686e-07
NTRK1,0.00142691447632,2.78023756099e-05
NTRK2,0.00126727969283,3.02081472625e-05
NTRK3,0.0159939075793,0.000555344007703
NUAK1,2.42111082833e-06,7.71711419193e-06
NUAK2,0.354158543511,6.10838465493e-06
PAK1,1.28892897349e-06,2.44204650662e-07
PAK2,6.67438805968e-06,1.31815244961e-06
PAK3,0.320642593141,2.52899699482e-07
PAK4,3.72472132416e-06,0.000310656015363
PAK7,0.514022027783,3.09462409758e-05
PASK,5.63761165473e-05,6.33964219014e-06
PBK,7.45545489364e-06,2.39348840674e-05
PDGFRA,0.00228787124728,9.91437758072e-05
PDGFRB,0.00716041828593,0.000132272358173
PDK1,1.16800705036e-06,1.14470139122e-06
PDK2,4.3245302386e-06,1.62806745213e-05
PDK3,2.7569413072e-06,2.02112117371e-05
PDK4,2.22218338424e-06,2.17597505536e-05
PDPK1,0.00252464299394,0.00962192069375
PFKFB2,7.93909602945e-06,4.95664385855e-06
PFKFB3,7.53727603827e-05,1.73435272431e-05
PGK1,9.75154339612e-06,4.09930450157e-06
PHKA1,3.54088987948e-06,2.58843090197e-07
PHKG1,0.419462744547,1.4182837201e-06
PHKG2,0.059725859937,0.000483575655366
PI4KA,2.91430290965e-06,6.13032737664e-06
PI4KB,2.26934314063e-06,5.23169385496e-06
PIK3C2B,7.71382874294e-06,1.40854560207e-06
PIK3C3,2.21715399396e-06,7.48503128087e-06
PIK3CA,3.30334341775e-05,0.000768975940162
PIK3CB,4.0045681463e-05,8.43378623497e-05
PIK3CD,9.56529023587e-06,0.000158060014762
PIK3CG,9.89615313116e-05,8.56911375083e-05
PIK3R1,1.11456852779e-06,1.21329074294e-05
PIK3R4,3.81616587801e-06,2.34101217219e-07
PIM1,0.00132609377654,0.033140594849
PIM2,4.89976696164e-05,0.00925162825274
PIM3,7.54950386055e-06,0.173401534127
PIP4K2B,0.429612156247,1.60620064778e-07
PIP4K2C,5.61867906624e-07,8.75407516596e-07
PIP5K1A,0.454171719117,2.07051082509e-06
PKLR,3.7876261816e-05,6.18746404086e-06
PKM,0.000735897174287,8.84740093811e-05
PKN1,0.540744750543,3.09548071849e-06
PKN2,0.0738166798797,0.000245165537343
PLK1,5.79040632087e-06,1.93186891471e-05
PLK2,2.34429956675e-06,2.51775035727e-06
PLK3,0.000211167126289,9.51866984971e-05
PLK4,0.0641831026129,0.000444193064062
PRKAA1,0.0311309370519,0.00269606963375
PRKAA2,0.415657623965,1.96265263376e-05
PRKAB1,2.25410208291e-05,1.0760309478e-05
PRKACA,0.000405995544314,0.00155605332592
PRKACB,3.08617504466e-05,4.39557330772e-07
PRKACG,0.000129730247985,4.05952207605e-07
PRKAG1,4.23903656865e-05,6.77643741992e-06
PRKCA,1.4555848551e-07,7.73562791459e-08
PRKCB,7.36040676446e-06,1.0456823644e-07
PRKCD,2.71044103598e-05,0.00010534415145
PRKCE,2.12878974688e-07,0.000179698166554
PRKCG,2.10336123337e-05,0.00030088874922
PRKCH,1.09744428417e-05,2.85988636403e-06
PRKCI,1.75299570287e-06,0.000113360844345
PRKCQ,1.37204349035e-05,4.16897850562e-05
PRKCZ,1.12656209567e-05,2.47447004719e-05
PRKD1,4.66440809661e-05,5.19985346607e-05
PRKD2,0.000155370025611,0.000803598884062
PRKD3,0.0163475152441,0.000343224277884
PRKDC,1.18070127745e-06,2.51750981107e-06
PRKG1,6.39129562218e-06,0.000122174532133
PRKG2,0.140489942577,0.000448692348943
PRKX,0.000105719331518,0.00453626982174
